region,name,link,type,rating,rating_num,ranking,latitude,longitude,excellence_cert,address,evaluation,families,couples,alone,business,friends,mar_may,jun_aug,sep_nov,dec_feb_old,languages,excellent,very_good,good,bad,very_bad,dec_feb,italian,first_foreign_new,second_foreign_new,excellent_p,very_good_p,good_p,bad_p,very_p,families_p,couples_p,alone_p,business_p,friends_p,mar_may_p,jun_aug_p,sep_nov_p,dec_feb_p,Column 46
12,Leuven,Vlierbeek Abbey,/Attraction_Review-g188669-d2495060-Reviews-Vlierbeek_Abbey-Leuven_Flemish_Brabant_Province.html,"Siti d'interesse, Siti storici",4,56,N. 15 di 44 Cose da fare a Leuven,50.89222,4.7342,0,"Abdij Vlierbeek 15, Leuven, Belgio",4.2,13,14,4,4,14,15,14,14,Eccellente3Molto buono9Nella media1Scarso0Pessimo0,LinguaTutte le lingueTutte le lingueItaliano (13)Olandese (36)Inglese (14)Russo (2)Spagnolo (2)Francese (1)Portoghese (1),20,29,5,1,1,14,NA,NA,NA,0.357142857142857,0.517857142857143,0.0892857142857143,0.0178571428571429,0.0178571428571429,0.232142857142857,0.25,0.0714285714285714,0.0714285714285714,0.25,0.267857142857143,0.25,0.25,0.25
19,Leuven,Sint-Michielskerk,/Attraction_Review-g188669-d10664844-Reviews-Sint_Michielskerk-Leuven_Flemish_Brabant_Province.html,"Siti d'interesse, Chiese e cattedrali",4,18,N. 27 di 44 Cose da fare a Leuven,50.87595,4.70056,0,"Naamsestraat 59, Leuven 3000, Belgio",5,2,7,4,1,4,5,9,2,Eccellente0Molto buono1Nella media1Scarso0Pessimo0,LinguaTutte le lingueTutte le lingueItaliano (5)Olandese (6)Inglese (5)Russo (3)Francese (2)Tedesco (1),6,6,6,0,0,2,NA,NA,NA,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0.111111111111111,0.388888888888889,0.222222222222222,0.0555555555555556,0.222222222222222,0.277777777777778,0.5,0.111111111111111,0.111111111111111
3,Leuven,Great Market Square (Grote Markt),/Attraction_Review-g188669-d561859-Reviews-Great_Market_Square_Grote_Markt-Leuven_Flemish_Brabant_Province.html,"Siti d'interesse, Luoghi e punti d'interesse",4.5,373,N. 4 di 44 Cose da fare a Leuven,50.879189,4.70113,1,"Leuven, Belgio",4.4,40,144,44,29,73,72,139,84,Eccellente46Molto buono27Nella media4Scarso1Pessimo0,LinguaTutte le lingueTutte le lingueItaliano (129)Inglese (147)Olandese (99)Spagnolo (33)Russo (19)Portoghese (18)Tedesco (15)Francese (13)Giapponese (5)Ungherese (2)Arabo (1)Danese (1)Greco (1)Indonesiano (1),204,145,20,1,3,84,NA,NA,NA,0.546916890080429,0.388739946380697,0.0536193029490617,0.00268096514745308,0.00804289544235925,0.107238605898123,0.386058981233244,0.117962466487936,0.0777479892761394,0.195710455764075,0.193029490616622,0.372654155495979,0.225201072386059,0.225201072386059
35,Leuven,Nationaal Monument NKB,/Attraction_Review-g188669-d15141474-Reviews-Nationaal_Monument_NKB-Leuven_Flemish_Brabant_Province.html,"Siti d'interesse, Monumenti e statue",NA,NA,N. 43 di 44 Cose da fare a Leuven,50.88084,4.69831,0,"Dirk Boutslaan, Leuven, Belgio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Leuven,STUK Kunstencentrum,/Attraction_Review-g188669-d3249114-Reviews-STUK_Kunstencentrum-Leuven_Flemish_Brabant_Province.html,"Musei, Shopping, Gallerie d'arte",4,35,N. 22 di 44 Cose da fare a Leuven,50.873886,4.699784,0,"Naamsestraat 96, Leuven 3000, Belgio",4.1,2,5,1,2,19,7,7,10,Eccellente2Molto buono5Nella media4Scarso0Pessimo0,LinguaTutte le lingueTutte le lingueItaliano (16)Inglese (15)Olandese (11)Portoghese (4)Spagnolo (3)Francese (1),11,14,9,1,0,10,NA,NA,NA,0.314285714285714,0.4,0.257142857142857,0.0285714285714286,0,0.0571428571428571,0.142857142857143,0.0285714285714286,0.0571428571428571,0.542857142857143,0.2,0.2,0.285714285714286,0.285714285714286
2,Leuven,Groot Begijnhof,/Attraction_Review-g188669-d561861-Reviews-Groot_Begijnhof-Leuven_Flemish_Brabant_Province.html,"Siti d'interesse, Luoghi e punti d'interesse, Siti storici, Edifici architettonici Altro",4.5,974,N. 2 di 44 Cose da fare a Leuven,50.87252,4.69804,1,"Schapenstraat, Leuven 3000, Belgio",4.5,110,372,113,51,217,257,295,231,Eccellente603Molto buono323Nella media40Scarso6Pessimo2,NA,603,323,40,6,2,231,NA,NA,NA,0.619096509240246,0.331622176591376,0.0410677618069815,0.00616016427104723,0.00205338809034908,0.112936344969199,0.381930184804928,0.116016427104723,0.0523613963039014,0.222792607802875,0.263860369609856,0.302874743326489,0.237166324435318,0.237166324435318
18,Leuven,Sint-Kwintenskerk,/Attraction_Review-g188669-d10639027-Reviews-Sint_Kwintenskerk-Leuven_Flemish_Brabant_Province.html,"Siti d'interesse, Chiese e cattedrali, Edifici architettonici",4,17,N. 26 di 44 Cose da fare a Leuven,50.87001,4.698724,0,"Naamsestraat 160A, Leuven 3000, Belgio",4.1,2,3,3,2,6,2,7,8,Eccellente0Molto buono0Nella media0Scarso0Pessimo0,LinguaTutte le lingueTutte le lingueItaliano (4)Olandese (6)Inglese (3)Russo (3)Portoghese (2)Spagnolo (2),2,13,2,0,0,8,NA,NA,NA,0.117647058823529,0.764705882352941,0.117647058823529,0,0,0.117647058823529,0.176470588235294,0.176470588235294,0.117647058823529,0.352941176470588,0.117647058823529,0.411764705882353,0.470588235294118,0.470588235294118
14,Leuven,Pope College,/Attraction_Review-g188669-d2495051-Reviews-Pope_College-Leuven_Flemish_Brabant_Province.html,"Siti d'interesse, Luoghi educativi",4,37,N. 17 di 44 Cose da fare a Leuven,50.87674,4.70198,0,"Hogeschoolplein 3, Leuven 3000, Belgio",4.2,7,3,10,2,14,14,14,24,Eccellente6Molto buono11Nella media3Scarso0Pessimo0,LinguaTutte le lingueTutte le lingueItaliano (3)Inglese (4)Olandese (4)Portoghese (1)Russo (1)Spagnolo (1),12,21,4,0,0,24,NA,NA,NA,0.324324324324324,0.567567567567568,0.108108108108108,0,0,0.189189189189189,0.0810810810810811,0.27027027027027,0.0540540540540541,0.378378378378378,0.378378378378378,0.378378378378378,0.648648648648649,0.648648648648649
4,Leuven,University Library & Bell Tower,/Attraction_Review-g188669-d2499867-Reviews-University_Library_Bell_Tower-Leuven_Flemish_Brabant_Province.html,"Siti d'interesse, Edifici architettonici",4.5,443,N. 5 di 44 Cose da fare a Leuven,50.877979,4.70751,1,"Monseigneur Ladeuzeplein 21, Leuven 3000, Belgio",4.5,16,51,15,8,32,240,443,250,Eccellente119Molto buono91Nella media10Scarso1Pessimo0,LinguaTutte le lingueTutte le lingueItaliano (37)Inglese (46)Olandese (41)Spagnolo (24)Russo (6)Portoghese (5)Francese (4)Tedesco (2)Greco (1)Polacco (1)Svedese (1),74,51,8,1,0,250,NA,NA,NA,0.167042889390519,0.115124153498871,0.018058690744921,0.00225733634311512,0,0.036117381489842,0.115124153498871,0.0338600451467269,0.018058690744921,0.072234762979684,0.54176072234763,1,0.564334085778781,0.564334085778781
6,Leuven,Saint Peter's Church (Sint-Pieterskerk),/Attraction_Review-g188669-d547654-Reviews-Saint_Peter_s_Church_Sint_Pieterskerk-Leuven_Flemish_Brabant_Province.html,"Siti d'interesse, Siti religiosi e luoghi sacri",4,227,N. 7 di 44 Cose da fare a Leuven,50.87759,4.71608,0,"Great Market Square, Leuven 3000, Belgio",4.2,9,27,9,4,11,111,227,142,Eccellente38Molto buono51Nella media18Scarso1Pessimo0,LinguaTutte le lingueTutte le lingueItaliano (19)Inglese (23)Olandese (20)Spagnolo (11)Russo (4)Tedesco (3)Francese (2)Portoghese (2),28,28,10,1,0,142,NA,NA,NA,0.123348017621145,0.123348017621145,0.0440528634361234,0.00440528634361234,0,0.039647577092511,0.118942731277533,0.039647577092511,0.0176211453744493,0.0484581497797357,0.488986784140969,1,0.625550660792952,0.625550660792952
