Column,name,link,rating,rating_num,ranking,latitude,longitude,stars,excellence_cert,address,price_range,stars_alt,rooms,evaluation,families,couples,alone,business,friends,mar_may,jun_aug,sep_nov,dec_feb_old,languages,price_range_low,price_range_up,avg_price,stars_alt_new,excellent,very_good,good,bad,very_bad,dec_feb,italian,first_foreign_new,second_foreign_new,NA,NA2,excellent_p,very_good_p,good_p,bad_p,very_p,families_p,couples_p,alone_p,business_p,friends_p,mar_may_p,jun_aug_p,sep_nov_p,dec_feb_p,region
35,Leuven City Hostel,/Hotel_Review-g188669-d2450500-Reviews-Leuven_City_Hostel-Leuven_Flemish_Brabant_Province.html,3,71,N. 13 di 19 altri alloggi a Leuven,"50,878578","4,7089",NA,0,Ravenstraat 37,NA,NA,NA,2.9,1,8,11,10,35,19,18,16,Eccellente1Molto buono7Nella media4Scarso1Pessimo5,Italiano (41),Inglese (40),Olandese (12),NA,NA,NA,NA,8,26,9,5,23,18,NA,NA,NA,NA,NA,"0,112676056338028","0,366197183098592","0,126760563380282","0,0140845070422535","0,112676056338028","0,154929577464789","0,140845070422535","0,492957746478873","0,267605633802817","0,253521126760563","0,225352112676056","0,0704225352112676",Leuven
31,B&B Nena,/Hotel_Review-g188669-d13448262-Reviews-B_B_Nena-Leuven_Flemish_Brabant_Province.html,5,1,N. 18 di 26 Bed & Breakfast a Leuven,"50,882992","4,74636",NA,Vedi tutte le foto (11)11,Platte Lostraat 568A,NA,NA,NA,5,0,1,1,1,1,0,1,0,Eccellente0Molto buono0Nella media0Scarso0Pessimo0,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,1,0,0,0,1,1,1,1,0,1,0,0,Leuven
5,Gasthof De Pastorij,/Hotel_Review-g188669-d778995-Reviews-Gasthof_De_Pastorij-Leuven_Flemish_Brabant_Province.html,5,78,N. 1 di 26 Bed & Breakfast a Leuven,"50,876667","4,701111",NA,Vedi tutte le foto (33)33,Sint-Michielsstraat 5,NA,NA,NA,4.9,3,78,30,59,36,7,7,7,Eccellente5Molto buono0Nella media0Scarso0Pessimo0,Italiano (35),Inglese (47),Olandese (18),NA,NA,NA,NA,67,11,0,0,0,5,NA,NA,NA,NA,NA,"0,858974358974359","0,141025641025641",0,"0,0384615384615385",1,"0,384615384615385","0,756410256410256","0,461538461538462","0,0897435897435897","0,0897435897435897","0,0897435897435897",0,Leuven
48,Jackson's Hotel,/Hotel_Review-g188669-d1379863-Reviews-Jackson_s_Hotel-Leuven_Flemish_Brabant_Province.html,NA,NA,NA,"50,88047","4,69535",NA,0,Brusselsestraat 110-112,NA,NA,NA,4.9,3,78,30,59,36,7,7,7,Eccellente5Molto buono0Nella media0Scarso0Pessimo0,Italiano (35),Inglese (47),Olandese (18),NA,NA,NA,NA,67,11,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leuven
12,Hotel Professor,/Hotel_Review-g188669-d1379861-Reviews-Hotel_Professor-Leuven_Flemish_Brabant_Province.html,"3,5",69,N. 14 di 18 hotel a Leuven,"50,87825","4,70075",NA,Vedi tutte le foto (27)27,Naamsestraat 20,NA,NA,NA,3.6,3,69,16,33,26,5,0,1,Eccellente0Molto buono1Nella media0Scarso0Pessimo0,Italiano (26),Inglese (25),Olandese (23),NA,NA,NA,NA,3,14,6,1,2,1,NA,NA,NA,NA,NA,"0,0434782608695652","0,202898550724638","0,0869565217391304","0,0434782608695652",1,"0,231884057971014","0,478260869565217","0,376811594202899","0,072463768115942",0,"0,0144927536231884","0,0144927536231884",Leuven
63,Shortstay Leuven,/Hotel_Review-g188669-d15277616-Reviews-Shortstay_Leuven-Leuven_Flemish_Brabant_Province.html,NA,NA,NA,"50,877701","4,70363",NA,0,Tiensestraat 40,NA,NA,NA,3.6,3,69,16,33,26,5,0,1,Eccellente0Molto buono1Nella media0Scarso0Pessimo0,Italiano (26),Inglese (25),Olandese (23),NA,NA,NA,NA,3,14,6,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leuven
26,Hostel2.be,/Hotel_Review-g188669-d12789985-Reviews-Hostel2_be-Leuven_Flemish_Brabant_Province.html,4,2,N. 10 di 19 altri alloggi a Leuven,"50,88446","4,71114",NA,0,Diestsevest 89,NA,NA,NA,4,0,2,0,1,1,0,0,0,Eccellente0Molto buono0Nella media0Scarso0Pessimo0,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,NA,NA,NA,NA,NA,"0,5",0,"0,5",0,1,0,"0,5","0,5",0,0,0,0,Leuven
50,Daniels B&B,/Hotel_Review-g188669-d2005981-Reviews-Daniels_B_B-Leuven_Flemish_Brabant_Province.html,NA,NA,NA,"50,881119","4,68457",NA,0,Cardenberch 14,NA,NA,NA,4,0,2,0,1,1,0,0,0,Eccellente0Molto buono0Nella media0Scarso0Pessimo0,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leuven
32,Boardhousing Apartservice,/Hotel_Review-g188669-d12726841-Reviews-Boardhousing_Apartservice-Leuven_Flemish_Brabant_Province.html,"4,5",3,N. 5 di 19 altri alloggi a Leuven,"50,863609","4,695",NA,0,Lodewijk Engelbertus van Arenbergplein 1,NA,NA,NA,4.3,1,3,1,2,1,0,0,1,Eccellente0Molto buono0Nella media0Scarso0Pessimo0,NA,NA,NA,NA,NA,NA,NA,1,2,0,0,0,0,NA,NA,NA,NA,NA,"0,333333333333333","0,666666666666667",0,"0,333333333333333",1,"0,333333333333333","0,666666666666667","0,333333333333333",0,0,"0,333333333333333",0,Leuven
2,Martin's Klooster Hotel,/Hotel_Review-g188669-d284245-Reviews-Martin_s_Klooster_Hotel-Leuven_Flemish_Brabant_Province.html,"4,5",930,N. 1 di 18 hotel a Leuven,"50,879242","4,695973",NA,1,Onze-Lieve-Vrouwstraat 18,NA,NA,NA,4.4,74,930,266,690,319,63,67,58,Eccellente23Molto buono16Nella media5Scarso2Pessimo0,Italiano (314),Inglese (391),Olandese (382),NA,NA,NA,NA,499,347,63,15,6,46,NA,NA,NA,NA,NA,"0,536559139784946","0,373118279569892","0,067741935483871","0,0795698924731183",1,"0,286021505376344","0,741935483870968","0,343010752688172","0,067741935483871","0,0720430107526882","0,0623655913978495","0,0161290322580645",Leuven
