,region,location,location_link,name,link,rating,rating_num,latitude,longitude,cooking,service,price_quality,environment,excellence_cert,address,price,families,couples,alone,business,friends,mar_may,jun_aug,sep_nov,dec_feb,excellent,very_good,good,bad,very_bad,Italian,first_foreign_new,second_foreign_new,excellent_p,very_good_p,good_p,bad_p,very_p,families_p,couples_p,alone_p,business_p,friends_p,mar_may_p,jun_aug_p,sep_nov_p,dec_feb_p
84,Leuven,Leuven_Flemish_Brabant_Province,https://www.tripadvisor.it/Restaurants-g188669-Leuven_Flemish_Brabant_Province.html,"_x000D_
Balls & Glory Leuven_x000D_
",/Restaurant_Review-g188669-d8757170-Reviews-Balls_Glory_Leuven-Leuven_Flemish_Brabant_Province.html,4,132,50.87796,4.703824,4,4,3.5,NA,0,"Indirizzo:_x000D_
 Tiensestraat 31, Leuven 3000, Belgio _x000D_
_x000D_
",€€ - €€€,6,12,3,3,10,8,9,10,12,11,19,5,3,1,NA,NA,NA,0.0833333333333333,0.143939393939394,0.0378787878787879,0.0227272727272727,0.00757575757575758,0.0454545454545455,0.0909090909090909,0.0227272727272727,0.0227272727272727,0.0757575757575758,0.0606060606060606,0.0681818181818182,0.0757575757575758,0.0909090909090909
191,Leuven,Leuven_Flemish_Brabant_Province,https://www.tripadvisor.it/Restaurants-g188669-Leuven_Flemish_Brabant_Province.html,"_x000D_
La Piccolo Pergola_x000D_
",/Restaurant_Review-g641779-d3803489-Reviews-La_Piccolo_Pergola-Heverlee_Leuven_Flemish_Brabant_Province.html,4,27,50.858768,4.69605,4.5,4.5,4.5,3.5,0,"Indirizzo:_x000D_
 Naamsesteenweg 333, Heverlee, Leuven 3001, Belgio _x000D_
_x000D_
",€€ - €€€,4,2,0,0,1,3,1,1,2,2,1,2,2,0,NA,NA,NA,0.0740740740740741,0.037037037037037,0.0740740740740741,0.0740740740740741,0,0.148148148148148,0.0740740740740741,0,0,0.037037037037037,0.111111111111111,0.037037037037037,0.037037037037037,0.0740740740740741
234,Leuven,Leuven_Flemish_Brabant_Province,https://www.tripadvisor.it/Restaurants-g188669-Leuven_Flemish_Brabant_Province.html,"_x000D_
De 3 Wijzen Leuven_x000D_
",/Restaurant_Review-g188669-d15092088-Reviews-De_3_Wijzen_Leuven-Leuven_Flemish_Brabant_Province.html,5,6,50.87915,4.699582,NA,NA,NA,NA,0,"Indirizzo:_x000D_
 Parijsstraat 18, Leuven 3000, Belgio _x000D_
_x000D_
",€€ - €€€,0,0,0,0,1,0,0,1,0,1,0,0,0,0,NA,NA,NA,0.166666666666667,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0.166666666666667,0
324,Leuven,Leuven_Flemish_Brabant_Province,https://www.tripadvisor.it/Restaurants-g188669-Leuven_Flemish_Brabant_Province.html,"_x000D_
Kung Fu Ge_x000D_
",/Restaurant_Review-g188669-d14923663-Reviews-Kung_Fu_Ge-Leuven_Flemish_Brabant_Province.html,5,1,50.871651,4.70082,NA,NA,NA,NA,0,"Indirizzo:_x000D_
 Hendrik Consciencestraat 27, Leuven 3000, Belgio _x000D_
_x000D_
",NA,0,0,0,0,1,0,1,0,0,1,0,0,0,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9,Leuven,Leuven_Flemish_Brabant_Province,https://www.tripadvisor.it/Restaurants-g188669-Leuven_Flemish_Brabant_Province.html,"_x000D_
Cum Laude_x000D_
",/Restaurant_Review-g188669-d2656926-Reviews-Cum_Laude-Leuven_Flemish_Brabant_Province.html,4.5,171,50.871132,4.696345,4.5,4.5,4,4.5,1,"Indirizzo:_x000D_
 Groot Begijnhof 14, Leuven 3000, Belgio _x000D_
_x000D_
",€€€€,9,19,4,82,36,40,38,56,37,84,68,16,2,1,NA,NA,NA,0.491228070175439,0.39766081871345,0.0935672514619883,0.0116959064327485,0.00584795321637427,0.0526315789473684,0.111111111111111,0.0233918128654971,0.47953216374269,0.210526315789474,0.233918128654971,0.222222222222222,0.327485380116959,0.216374269005848
169,Leuven,Leuven_Flemish_Brabant_Province,https://www.tripadvisor.it/Restaurants-g188669-Leuven_Flemish_Brabant_Province.html,"_x000D_
De Abdijmolen_x000D_
",/Restaurant_Review-g641779-d6496952-Reviews-De_Abdijmolen-Heverlee_Leuven_Flemish_Brabant_Province.html,3.5,142,50.864132,4.714813,3.5,3.5,3.5,4,0,"Indirizzo:_x000D_
 Abdij van Park 4, Heverlee, Leuven 3001, Belgio _x000D_
_x000D_
",€€ - €€€,27,27,4,13,57,35,46,36,25,20,60,36,15,11,NA,NA,NA,0.140845070422535,0.422535211267606,0.253521126760563,0.105633802816901,0.0774647887323944,0.190140845070423,0.190140845070423,0.028169014084507,0.0915492957746479,0.401408450704225,0.246478873239437,0.323943661971831,0.253521126760563,0.176056338028169
331,Leuven,Leuven_Flemish_Brabant_Province,https://www.tripadvisor.it/Restaurants-g188669-Leuven_Flemish_Brabant_Province.html,"_x000D_
La Royale_x000D_
",/Restaurant_Review-g188669-d4206924-Reviews-La_Royale-Leuven_Flemish_Brabant_Province.html,3,55,50.880852,4.71402,3.5,3,3,3.5,0,"Indirizzo:_x000D_
 Martelarenplein 6, Leuven 3000, Belgio (Nome precedente: Brasserie royal)_x000D_
_x000D_
",€€ - €€€,9,13,6,8,15,13,13,23,6,2,18,24,6,5,NA,NA,NA,0.0363636363636364,0.327272727272727,0.436363636363636,0.109090909090909,0.0909090909090909,0.163636363636364,0.236363636363636,0.109090909090909,0.145454545454545,0.272727272727273,0.236363636363636,0.236363636363636,0.418181818181818,0.109090909090909
107,Leuven,Leuven_Flemish_Brabant_Province,https://www.tripadvisor.it/Restaurants-g188669-Leuven_Flemish_Brabant_Province.html,"_x000D_
Meating Room_x000D_
",/Restaurant_Review-g188669-d1022598-Reviews-Meating_Room-Leuven_Flemish_Brabant_Province.html,4,143,50.878334,4.699672,4.5,3.5,3.5,3.5,0,"Indirizzo:_x000D_
 Oude Markt, Leuven, Belgio _x000D_
_x000D_
",€€ - €€€,14,36,3,13,49,46,34,32,31,47,62,19,12,3,NA,NA,NA,0.328671328671329,0.433566433566434,0.132867132867133,0.0839160839160839,0.020979020979021,0.0979020979020979,0.251748251748252,0.020979020979021,0.0909090909090909,0.342657342657343,0.321678321678322,0.237762237762238,0.223776223776224,0.216783216783217
326,Leuven,Leuven_Flemish_Brabant_Province,https://www.tripadvisor.it/Restaurants-g188669-Leuven_Flemish_Brabant_Province.html,"_x000D_
Punto Caffee_x000D_
",/Restaurant_Review-g188669-d13212569-Reviews-Punto_Caffee-Leuven_Flemish_Brabant_Province.html,5,1,50.879601,4.70409,NA,NA,NA,NA,0,"Indirizzo:_x000D_
 Leopold Vanderkelenstraat 17a, Leuven 3000, Belgio _x000D_
_x000D_
",NA,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,1
138,Leuven,Leuven_Flemish_Brabant_Province,https://www.tripadvisor.it/Restaurants-g188669-Leuven_Flemish_Brabant_Province.html,"_x000D_
La Graal, Creperia - Bar Italiano_x000D_
",/Restaurant_Review-g188669-d10458314-Reviews-La_Graal_Creperia_Bar_Italiano-Leuven_Flemish_Brabant_Province.html,4.5,25,50.879093,4.703028,4.5,4.5,4.5,NA,0,"Indirizzo:_x000D_
 Rector de Somerplein 3, Leuven 3000, Belgio _x000D_
_x000D_
",€€ - €€€,4,4,4,0,9,9,5,5,6,16,8,0,0,1,NA,NA,NA,0.64,0.32,0,0,0.04,0.16,0.16,0.16,0,0.36,0.36,0.2,0.2,0.24
